letter,words
দ,"['দ', 'দংশ', 'দংশক', 'দংশন', 'দংশল', 'দংশা', 'দংশান, দংশানো', 'দংশিত', 'দংষ্ট্র', 'দংষ্ট্রা', 'দংষ্ট্রাল, দংষ্ট্রী', 'দই, দৈ', 'দউ', 'দক, দঁক', 'দকে পড়া', 'দক্তি', 'দক্ষ', 'দক্ষকন্যা, দক্ষজা', 'দক্ষতা', 'দক্ষা', 'দক্ষিণ', 'দক্ষিণ-পশ্চিম', 'দক্ষিণ-পূর্ব', 'দক্ষিণকালিকা, দক্ষিণা কালী', 'দক্ষিণকেন্দ্র, দক্ষিণমেরু', 'দক্ষিণরায়', 'দক্ষিণস্থ', 'দক্ষিণহস্ত', 'দক্ষিণা', 'দক্ষিণাচল', 'দক্ষিণাচার', 'দক্ষিণাপথ', 'দক্ষিণাবর্ত', 'দক্ষিণাবহ', 'দক্ষিণামুখ', 'দক্ষিণারণ্য', 'দক্ষিণাৎ', 'দক্ষিণায়ন', 'দক্ষিণায়নান্ত বৃত্ত', 'দক্ষিণী', 'দক্ষিণে, দক্ষিনে', 'দক্ষিণেশ্বর', 'দক্ষিণ্য', 'দখনে, দখনো', 'দখল', 'দখলকার, দখলদার, দখলিকার, দখলিদার', 'দখলনামা', 'দখলী', 'দখিন', 'দগদগ', 'দগদগানি, দগদগি', 'দগধ', 'দগ্ধ', 'দগ্ধা', 'দগ্ধান, দগ্ধানো', 'দগ্ধাবশেষ', 'দগ্ধিকা', 'দগ্ধোদর', 'দগড়', 'দগড়া', 'দঙ্গল', 'দজ্জাল', 'দত্ত', 'দত্তক, দত্তক পুত্র/কন্যা', 'দত্তহারী, দত্তাপহারী', 'দত্তা', 'দত্তি', 'দদন', 'দদ্রু', 'দদ্রুঘ্ন', 'দধি', 'দধি সার', 'দধিমঙ্গল', 'দধিমন্থন', 'দধীচ, দধীচি', 'দধ্যন্ন', 'দধ্যম্ল', 'দনা, দোনা', 'দনাই', 'দনু']"
ধ,"['ধ', 'ধকল', 'ধক্', 'ধক্ধকানি', 'ধক্ধক্', 'ধঞ্চে', 'ধটি', 'ধটী, ধটিকা', 'ধন', 'ধনকুবের', 'ধনগৌরব', 'ধনজন', 'ধনঞ্জয়', 'ধনতৃষা, ধনতৃষ্ণা', 'ধনদ', 'ধনদা', 'ধনদাতা, ধনদায়ক', 'ধনদাত্রী, ধনদায়িকা, ধনদায়িনী', 'ধনদাস', 'ধনদেবতা', 'ধনদৌলত', 'ধনধান্য', 'ধনপতি', 'ধনবতী', 'ধনবান্', 'ধনবিনিয়োগ', 'ধনভান্ডার', 'ধনমদ', 'ধনমান', 'ধনশালিতা', 'ধনশালিনী', 'ধনশালী', 'ধনশ্রী', 'ধনসম্পত্তি', 'ধনহীন', 'ধনাগম', 'ধনাগার', 'ধনাঢ্য', 'ধনাঢ্যা', 'ধনাধ্যক্ষ', 'ধনার্জন', 'ধনি', 'ধনিক', 'ধনিকা', 'ধনিচা', 'ধনিনী', 'ধনিষ্ঠা', 'ধনিয়া', 'ধনি২', 'ধনী', 'ধনী২', 'ধনুঃ ধনু', 'ধনুক', 'ধনুর্গুণ', 'ধনুর্ধর', 'ধনুর্বাণ', 'ধনুর্বেদ', 'ধনুর্ভঙ্গপণ', 'ধনুষ্কোটি', 'ধনুষ্টঙ্কার', 'ধনে', 'ধনেশ', 'ধন্দ', 'ধন্না', 'ধন্ব, ধন্বা', 'ধন্বন্তরি', 'ধন্য', 'ধন্যবাদ', 'ধপ্, ধপাস্, ধবাস্', 'ধপ্ধপ্, ধপধপ, ধব্ধব্, ধবধব', 'ধবল', 'ধবলিত', 'ধবলিমা', 'ধবলী', 'ধবলীকৃত', 'ধবলীকৃত', 'ধমক', 'ধমকান, ধমকানো', 'ধমকানি', 'ধমনী, ধমনি']"
ন,"['ন', 'ন-', 'নং', 'নই', 'নইচা, নইচে', 'নইলে', 'নই২', 'নই৩', 'নঈ তালিম', 'নউই', 'নও', 'নওজোয়ান', 'নওবত', 'নওবতখানা', 'নওরোজ', 'নওল', 'নওলা, নহলা', 'নকল', 'নকলদানা', 'নকলনবিস, নকলনবীস', 'নকশা', 'নকশা-কাটা', 'নকশাকার', 'নকশাপাড়', 'নকশি, নকশী', 'নকাশি, নকাশী', 'নকিব, নকীব', 'নকুল', 'নকুলদানা', 'নকুলে', 'নকুলেশ্বর', 'নক্ত', 'নক্তচর, নক্তচারী, নক্তঞ্চর', 'নক্তান্ধ', 'নক্র', 'নক্ররাজ', 'নক্ষত্র', 'নক্ষত্রগতি, নক্ষত্রবেগ', 'নক্ষত্রপতি', 'নক্ষত্রপাত', 'নক্ষত্রবিদ্যা', 'নক্ষত্রলোক', 'নক্ষত্র২', 'নক্সা', 'নকড়া-ছকড়া', 'নখ', 'নখকুনি, নখকোনি', 'নখদর্পণ', 'নখর', 'নখরঞ্জনী', 'নখরায়ুধ, নখায়ুধ', 'নখশূল', 'নখাঘাত', 'নখিন্দর', 'নখী', 'নখী২', 'নগ', 'নগণ্য', 'নগদ', 'নগদবিদায়', 'নগদা', 'নগদী', 'নগনন্দিদী', 'নগপতি, নগরাজ, নগাধিপ, নগাধিরাজ, নগেন্দ্র', 'নগর', 'নগরকীর্তন, নগরসঙ্কীর্তন, নগরসংকীর্তন', 'নগরচত্বর', 'নগরপাল', 'নগরস্থ', 'নগরাধ্যক্ষ', 'নগরিয়া', 'নগরীয়', 'নগরোপান্ত', 'নগুরে, নগরিয়া', 'নগ্ন', 'নগ্নক', 'নগ্নিকা', 'নঙ্গর করা, নঙ্গর ফেলা', 'নঙ্গর তোলা', 'নঙ্গর, নোঙ্গর']"
প,"['প', 'পঁইছা', 'পঁইত্রিশ, পঁয়ত্রিশ', 'পঁচাত্তর', 'পঁচানব্বই, পঁচানব্বুই', 'পঁচাশী', 'পঁচিশ', 'পঁচিশে', 'পঁয়তাল্লিশ', 'পঁয়ষট্টি', 'পই, পৈ', 'পই-পই', 'পইছা', 'পইঠা', 'পইতা', 'পঔষ', 'পকেট', 'পকেটমার, পকেটকাটা', 'পক্ক', 'পক্ককেশ', 'পক্কতা', 'পক্কান্ন', 'পক্কাশয়', 'পক্ষ', 'পক্ষগ্রহণ', 'পক্ষচর', 'পক্ষচ্ছেদ', 'পক্ষজ, পক্ষধর', 'পক্ষতা', 'পক্ষদ্বার', 'পক্ষপাত', 'পক্ষপাতিতা, পক্ষপাতিত্ব', 'পক্ষপুট', 'পক্ষবল', 'পক্ষল', 'পক্ষশাতন', 'পক্ষসঞ্চালন', 'পক্ষসমর্থন', 'পক্ষাঘাত', 'পক্ষান্ত', 'পক্ষান্তর', 'পক্ষান্তরে', 'পক্ষাপক্ষ', 'পক্ষী', 'পক্ষীরাজ', 'পক্ষীয়', 'পক্ষোদ্গম, পক্ষোদ্ভেদ', 'পক্ষ্ণ', 'পক্ষ্ণ-পক্ষ্ণ', 'পগার, পগাড়', 'পঙ্ক', 'পঙ্কগড়ক', 'পঙ্কজ', 'পঙ্কজিনী', 'পঙ্করুহ', 'পঙ্কশরণ', 'পঙ্কিল', 'পঙ্ক২', 'পঙ্খ', 'পঙ্খী', 'পঙ্গপাল', 'পঙ্গু', 'পঙ্ক্তি', 'পঙ্ক্তি দূষক', 'পঙ্ক্তিভোজন', 'পচ', 'পচন', 'পচনশীল', 'পচা', 'পচাই', 'পচান, পচানো', 'পচানি', 'পচ্য', 'পচ্পচ্, প্যাচ্প্যাচ্', 'পছন্দ', 'পছন্দসই', 'পজ্ঝটিকা', 'পঞ্চ', 'পঞ্চকষায়', 'পঞ্চকোষ']"
ফ,"['ফ', 'ফ', 'ফইজত, ফউজৎ, ফৈজত', 'ফকা', 'ফকির, ফকীর', 'ফকিরি, ফকীরি', 'ফকিরী, ফকীরী', 'ফক্কা, ফক্কি, ফোক্কা', 'ফক্কিকা', 'ফক্কিকার, ফক্কিকারি', 'ফক্কড়', 'ফক্কড়ি, ফক্কুড়ি', 'ফচ্কে', 'ফচ্কেমি', 'ফচ্ফচ্', 'ফজর, ফজির', 'ফজলি', 'ফটক', 'ফটকাবাজ', 'ফটকিরি, ফটকিরী', 'ফটিক', 'ফটিক-জল', 'ফটো', 'ফটোগ্রাফ', 'ফটোগ্রাফার', 'ফট্', 'ফট্ফট্', 'ফণ, ফণা', 'ফণিভূষন', 'ফণিমনসা', 'ফণিমন্ডল', 'ফণী', 'ফণীন্দ্র', 'ফতুর', 'ফতুয়া', 'ফতে', 'ফতো', 'ফতোনবাব', 'ফতোবাবু', 'ফতোয়া', 'ফন্দি, ফন্দী', 'ফন্দিবাজ', 'ফপরদালাল, ফফরদালাল', 'ফরক', 'ফরকান, ফরকানো', 'ফরজ', 'ফরফর', 'ফরমা, ফর্মা', 'ফরমাইয়া, ফরমাশ', 'ফরমান', 'ফরমান, ফরমানো', 'ফরমানি', 'ফরমানী', 'ফরশা, ফরসা', 'ফরসি, ফরসী', 'ফরাকত, ফরাকৎ', 'ফরাশ, ফরাস', 'ফরাসী', 'ফরিকার, ফরিকাল', 'ফরিয়াদ', 'ফরিয়াদি, ফরিয়াদী', 'ফরেব', 'ফরেববাজ', 'ফর্দ', 'ফর্দফাঁক', 'ফর্দা', 'ফর্মা', 'ফর্সা, ফর্শা', 'ফল', 'ফলই, ফলি', 'ফলক', 'ফলকথা', 'ফলকর', 'ফলটন, পল্টন', 'ফলতঃ', 'ফলদর্শী', 'ফলদায়ক, সুফলপ্রসূ', 'ফলন', 'ফলনা', 'ফলন্ত']"
ব,"['ব', 'ব (অন্ত্যঃস্থ)', 'ব-দ্বীপ', 'বঁইচি', 'বঁটি', 'বঁধু, বঁধুয়া', 'বঁড়শি, বঁড়শী', 'বংশ', 'বংশগত', 'বংশগতি', 'বংশজ', 'বংশদন্ড', 'বংশধর', 'বংশপত্র', 'বংশবৃদ্ধি', 'বংশমর্যাদা', 'বংশলতা', 'বংশলোপ', 'বংশানুক্রম', 'বংশানুক্রমিক', 'বংশাবতংশ', 'বংশাবলী, বংশাবলি', 'বংশী', 'বংশীধর, বংশীধারী', 'বংশীবট', 'বংশীয়, বংশ্য', 'বংশ২', 'বই', 'বইঠা', 'বইয়ের পোকা', 'বই২', 'বই৩', 'বই৪', 'বউ', 'বউ-কথা-কও', 'বউকাঁটকী', 'বউদিদি, বৌদি', 'বউনি', 'বউনি২, বউনী', 'বউভাত', 'বউমা', 'বউমানুষ', 'বউল, (কথ্য) বোল', 'বউড়ি', 'বওয়া', 'বওয়াটে', 'বক', 'বক দেখানো', 'বক ধার্মিক', 'বক বৃত্তি', 'বক যন্ত্র', 'বকনা', 'বকপঞ্চক', 'বকবক', 'বকবকম, বকবকুম', 'বকবকান, বকবকানো', 'বকবকানি', 'বকমকাঠ', 'বকরা', 'বকরীদ', 'বকলম', 'বকলস, বগলস', 'বকশিশ, (বিরল) বকশীশ, বকশিস', 'বকশী, বকসী', 'বকা', 'বকান, বকানো', 'বকান্ডপ্রত্যাশা', 'বকান্ডপ্রত্যাশান্যায়', 'বকাবকি', 'বকাল', 'বকা২, বকাট, বকাটে, বকামি', 'বকুনি', 'বকুল', 'বকেয়া', 'বকেয়াবাকী', 'বকেয়া২', 'বক্কাল, বকাল', 'বক্ত, বকত', 'বক্তব্য', 'বক্তা']"
ভ,"['ভ', 'ভইষ, ভঁইষ, ভইস, ভঁইস', 'ভকা', 'ভক্ত', 'ভক্তবিটেল', 'ভক্তবৎসল', 'ভক্তাগ্রগণ্য', 'ভক্তি', 'ভক্তিগ্রন্থ', 'ভক্তিগ্রন্থ', 'ভক্তিপথ, ভক্তিমার্গ', 'ভক্তিবাদ', 'ভক্তিমূলক', 'ভক্তিযোগ', 'ভক্ষক', 'ভক্ষণ', 'ভক্ষণীয়, ভক্ষ্য', 'ভক্ষিত', 'ভক্', 'ভখা', 'ভগ', 'ভগন্দর', 'ভগবতী', 'ভগবদ্ভক্ত', 'ভগবদ্গীতা', 'ভগবদ্দত্ত', 'ভগবান্', 'ভগিনী', 'ভগিনীপতি', 'ভগিনেয়, ভাগিনা, ভাগ্না', 'ভগীরথ', 'ভগোল, ভচক্র, ভপঞ্জর, ভমন্ডল', 'ভগ্ন', 'ভগ্নকন্ঠ', 'ভগ্নদশা', 'ভগ্নদূত', 'ভগ্নপাইক', 'ভগ্নপ্রায়', 'ভগ্নমনোরথ', 'ভগ্নশ্রী', 'ভগ্নস্তূপ', 'ভগ্নাংশ', 'ভগ্নাবশিষ্ট', 'ভগ্নাবশেষ', 'ভগ্নাবস্থা', 'ভগ্নী', 'ভগ্নোৎসাহ, ভগ্নোদ্যম', 'ভঙ্গ', 'ভঙ্গকুলীন', 'ভঙ্গপ্রবণ', 'ভঙ্গপয়ার', 'ভঙ্গললিত, ভঙ্গললিতচতুষ্পদী', 'ভঙ্গা', 'ভঙ্গি, ভঙ্গী', 'ভঙ্গিমা', 'ভঙ্গিল', 'ভঙ্গিল পর্বত', 'ভঙ্গুর', 'ভচক্র, ভমন্ডল', 'ভজকট', 'ভজন, ভজনা', 'ভজন-পূজন', 'ভজনালয়', 'ভজমান', 'ভজা', 'ভজান, ভজানো', 'ভঞ্জক', 'ভঞ্জন', 'ভঞ্জা', 'ভঞ্জিব', 'ভট্ট', 'ভট্টপল্লী', 'ভট্টারক', 'ভট্ভট্', 'ভণিত', 'ভণিতা', 'ভদন্ত', 'ভদ্র', 'ভদ্রকালী', 'ভদ্রতা']"
ম,"['ম', 'মই', 'মইসা', 'মউ', 'মউনি', 'মউভাত', 'মউমউ', 'মউরি', 'মওকা', 'মওলবী', 'মওলানা', 'মওয়া', 'মকদ্দমা', 'মকমক', 'মকমকী', 'মকর', 'মকর-সংক্রান্তি', 'মকরকুন্ডল', 'মকরক্রান্তি', 'মকরতেন, মকরকেতু, মকরধ্বজ', 'মকরন্দ', 'মকরবাহিনী', 'মকরবু্যহ', 'মকাই', 'মকার', 'মকুফ, মকুব', 'মক্কা', 'মক্কা২', 'মক্কেল', 'মক্তব', 'মক্ষিকা, মক্ষী', 'মক্স, মক্শ', 'মখ', 'মখদম', 'মখমল', 'মখমলী', 'মগ', 'মগজ', 'মগজি', 'মগডাল', 'মগধ', 'মগন, মগ্ন', 'মগ্ন', 'মগ২', 'মঘবতী', 'মঘবা, মঘবান্', 'মঘা', 'মঙ্গল', 'মঙ্গলকামনা, মঙ্গলাকাঙ্ক্ষা', 'মঙ্গলকারী, মঙ্গলাকাঙ্ক্ষী', 'মঙ্গলগট', 'মঙ্গলগীত', 'মঙ্গলচন্ডী', 'মঙ্গলচন্ডী', 'মঙ্গলদায়ক', 'মঙ্গলময়', 'মঙ্গলসমাচার', 'মঙ্গলা', 'মঙ্গলাচরণ, মঙ্গলাচার', 'মঙ্গলামঙ্গল', 'মচ্ছব', 'মচ্', 'মচ্কান, মচ্কানো', 'মচ্কানি', 'মচ্মচে', 'মছনদ', 'মছলি', 'মজকুর', 'মজদুর', 'মজদুরি', 'মজলিস', 'মজলিসী', 'মজা', 'মজান, মজানো', 'মজা২', 'মজুদ, মজুত', 'মজুমদার', 'মজুর', 'মজুরি', 'মজ্জন']"
য,"['য', 'যই, যৈ', 'যক', 'যকপুরী', 'যকৃৎ', 'যকের ধন', 'যক্ষ', 'যক্ষরাজ', 'যক্ষুনি, যক্ষনি', 'যক্ষ্ণা', 'যখন', 'যখন-তখন', 'যখনকার', 'যখনি, যখনই', 'যছু', 'যজন', 'যজনীয়, যজ্য', 'যজমান', 'যজমানি', 'যজমানী, যজমেনে', 'যজান, যজানো', 'যজানে', 'যজুঃ, যজুর্বেদ', 'যজুর্বেদী', 'যজুর্বেদীয়', 'যজ্ঞ', 'যজ্ঞকর্তা', 'যজ্ঞকুন্ড', 'যজ্ঞডুমুর', 'যজ্ঞধূম', 'যজ্ঞপশু', 'যজ্ঞপাত্র', 'যজ্ঞবেদী', 'যজ্ঞভূমি', 'যজ্ঞসূত্র, যজ্ঞোপবীত', 'যজ্ঞাংশভুক্', 'যজ্ঞাহ্নি, যজ্ঞানল', 'যজ্ঞীয়', 'যত', 'যতই', 'যতকাল, যতক্ষণ, যতদিন', 'যতকিছু', 'যতগুলি', 'যতন', 'যতবার', 'যতি', 'যতিচিহ্ন', 'যতিনী', 'যতি২', 'যতি৩', 'যতী', 'যতেক', 'যত্ন', 'যত্নপূর্বক', 'যত্নবান্, যত্নশীল', 'যত্র', 'যত্রতত্র', 'যথা', 'যথাকথঞ্চিৎ', 'যথাকর্তব্য', 'যথাকালে, যথাসময়ে', 'যথাক্রমে', 'যথাজ্ঞান', 'যথাতথা', 'যথাদিষ্ট', 'যথানুপূর্ব', 'যথান্যায়', 'যথাপূর্ব', 'যথাবিহিত', 'যথাযোগ্য', 'যথারীতি', 'যথার্থ', 'যথার্থতঃ', 'যথাশাস্ত্র', 'যথাসম্ভব', 'যথাসর্বস্ব', 'যথাসাধ্য', 'যথাস্থান', 'যথেচ্ছ, যথেচ্ছা', 'যথেচ্ছাচার']"
র,"['র', 'রং', 'রং-চং', 'রংরুট', 'রই', 'রই রই', 'রওয়ানা, রওনা', 'রক', 'রকম', 'রকম-সকম', 'রকমারি', 'রক্ত', 'রক্ত করবী', 'রক্ত-তঞ্চন', 'রক্তআঁখি', 'রক্তক', 'রক্তকন্ঠ', 'রক্তকন্দ', 'রক্তকমল', 'রক্তকরবী', 'রক্তক্ষয়ী', 'রক্তগঙ্গা', 'রক্তচক্ষু', 'রক্তচন্দন', 'রক্তজিহ্ব', 'রক্তদন্তী', 'রক্তদোষ, রক্তদুষ্টি', 'রক্তধাতু', 'রক্তনাসিক', 'রক্তনেত্র', 'রক্তপ, রক্তপায়ী', 'রক্তপিত্ত', 'রক্তপিন্ড', 'রক্তপিপাসা', 'রক্তপিপাসু', 'রক্তপ্রদর', 'রক্তবাহী', 'রক্তবীজ', 'রক্তমাংস', 'রক্তমোক্ষণ', 'রক্তশোষণ', 'রক্তসোত', 'রক্তহীন', 'রক্তাক্ত', 'রক্তাতিসার', 'রক্তাধিক্য', 'রক্তিম', 'রক্তিমা', 'রক্তোপল', 'রক্তোৎপল', 'রক্ষ', 'রক্ষঃ', 'রক্ষঃকুল', 'রক্ষক', 'রক্ষকালী', 'রক্ষণ', 'রক্ষণাবেক্ষণ', 'রক্ষণীয়', 'রক্ষা', 'রক্ষাকবচ', 'রক্ষামন্ত্র', 'রক্ষা২', 'রক্ষিত', 'রক্ষিতা', 'রক্ষী', 'রক্ষ্য', 'রক২', 'রগ', 'রগচটা', 'রগুড়ে, রগড়িয়া', 'রগড়', 'রগড়া', 'রগড়ান, রগড়ানো', 'রগড়ি', 'রগড়২', 'রঘু', 'রঘুকুল, রঘুবংশ', 'রঘুকুলতিলক', 'রঘুকুলপতি, রঘুনন্দন, রঘুনাথ, রঘুপতি, রঘুব', 'রঙ ফলানো']"
ল,"['ল', 'লংকা', 'লংক্লথ', 'লওয়া', 'লওয়াজিম', 'লওয়ান, লওয়ানো', 'লকট', 'লকলক', 'লকলকে', 'লকাব', 'লকুচ', 'লকেট', 'লক্কা', 'লক্ষ', 'লক্ষ-লক্ষ', 'লক্ষণ', 'লক্ষণা', 'লক্ষণীয়', 'লক্ষপতি', 'লক্ষিত', 'লক্ষ্ণণ', 'লক্ষ্ণী', 'লক্ষ্ণী-ছাড়া', 'লক্ষ্ণী-জনার্দন', 'লক্ষ্ণীকান্ত, লক্ষ্ণীপতি', 'লক্ষ্ণীবন্ত, লক্ষ্ণীমন্ত', 'লক্ষ্ণীবান্', 'লক্ষ্ণীবিলাস', 'লক্ষ্ণীশ্রী', 'লক্ষ্য', 'লক্ষ্যচু্যত, লক্ষ্যভ্রষ্ট', 'লক্ষ্যবেধ, লক্ষ্যভেদ', 'লক্ষ্যস্থল', 'লক্ষ্যহীন', 'লক্ষ২', 'লক্লক্', 'লখ, লখলাইন', 'লখা', 'লগন', 'লগা', 'লগি', 'লগুঢ়', 'লগ্ন', 'লগ্নকাল, লগ্নবেলা, লগ্নমুহূর্ত', 'লগ্নভ্রষ্ট', 'লগ্নি', 'লগ্নী', 'লগ্ন২', 'লঘিমা', 'লঘিষ্ঠ', 'লঘীয়ান্', 'লঘু', 'লঘুকরণ', 'লঘুগামী', 'লঘুচিত্ত, লঘুচেতা', 'লঘুত্রিপদী, লঘুললিতচতুষ্পদী', 'লঘুপাক', 'লঘুপাপ', 'লঘুলিপিকা', 'লঙ্কা', 'লঙ্কা কান্ড', 'লঙ্কা-কান্ড', 'লঙ্কা-বাটা', 'লঙ্কাদাহন', 'লঙ্কাদাহী', 'লঙ্কাধিপ, লঙ্কাধিপতি, লঙ্কেশ, লঙ্কেশ্বর', 'লঙ্কা২', 'লঙ্গ', 'লঙ্গর', 'লঙ্ঘন', 'লঙ্ঘনীয়', 'লঙ্ঘা', 'লঙ্ঘিত', 'লছমী, লছিমী', 'লজ্জত', 'লজ্জমান', 'লজ্জা', 'লজ্জাকর, লজ্জাজনক', 'লজ্জানত, লজ্জানম্র, লজ্জাবনত', 'লজ্জাবতী২']"
শ,"['শ', 'শংসন, শংসা', 'শংসাপত্র', 'শংসিত', 'শংস্য', 'শক', 'শকট', 'শকট-চালক', 'শকটারি', 'শকটিকা', 'শকতি', 'শকরকন্দ', 'শকল', 'শকলী', 'শকাব্দ', 'শকার-বকার', 'শকারি', 'শকুন', 'শকুনজ্ঞ', 'শকুনজ্ঞা', 'শকুনি', 'শকুন্ত', 'শকুন্তলা', 'শকুল, সকুল', 'শক্ত', 'শক্তি', 'শক্তিপূজা', 'শক্তিমান্', 'শক্তিশেল', 'শক্তিহীন', 'শক্তু', 'শক্ত২', 'শক্য', 'শক্র', 'শক্রজিৎ', 'শক্রধনু', 'শক্রাণী', 'শখ', 'শঙ্কনীয়', 'শঙ্কর', 'শঙ্করী', 'শঙ্কা', 'শঙ্কিত', 'শঙ্কিল', 'শঙ্কু', 'শঙ্কুপট্ট', 'শঙ্খ', 'শঙ্খকার', 'শঙ্খচক্রপদ্মহারী', 'শঙ্খচিল', 'শঙ্খচূড়', 'শঙ্খধ্বনি, শঙ্খনাদ', 'শঙ্খবণিক্', 'শঙ্খবলয়', 'শঙ্খবিষ', 'শঙ্খমালা, শঙ্খমালিকা', 'শঙ্খিনী', 'শচি, শচী', 'শচিকান্ত, শচীন্দ্র, শচীপতি, শচীপ্রিয়, শচীশ', 'শজারু', 'শজিনা ডাঁটা, শজিনা খাড়া', 'শজিনা, (কথ্য) শজনে', 'শটন', 'শটি, শটী', 'শটিত', 'শটিফুড', 'শঠ', 'শঠতা, শাঠ্য', 'শণ', 'শণতন্তু, শণসূত্র', 'শত', 'শত-সহস্র', 'শতক', 'শতকরা', 'শতকিয়া', 'শতকোটি', 'শতক্রতু', 'শতগ্রন্থি', 'শততম', 'শতদল']"
ষ,"['ষ', 'ষট্', 'ষট্কর্ম', 'ষট্কর্মা', 'ষট্চক্র', 'ষট্চত্বারিংশ, ষট্চত্বারিংশৎ, ষট্চত্বারিংশত্তম', 'ষট্ত্রিংশ, ষট্ত্রিংশৎ, ষট্ত্রিংশত্তম', 'ষট্পঞ্চাশ, ষট্পঞ্চাশৎ, ষট্পঞ্চাশত্তম', 'ষট্পদী', 'ষট্ষট্টি', 'ষট্ষষ্ঠ, ষট্ষষ্টিতম', 'ষট্সপ্ততি, ষট্সপ্ততিতম', 'ষণ্নবতি', 'ষণ্নবতিতম', 'ষত্ব', 'ষত্ব-বিধান', 'ষন্ড', 'ষন্ডা', 'ষন্ডামার্ক', 'ষন্ডামার্কা', 'ষন্ডামি', 'ষন্মাস', 'ষষ্টি', 'ষষ্টিতম', 'ষষ্ঠ', 'ষষ্ঠী', 'ষষ্ঠী-তৎপুরুষ', 'ষষ্ঠী-বুড়ি', 'ষষ্ঠীতলা', 'ষষ্ঠীপূজা', 'ষষ্ঠীবাটা', 'ষাঁড়', 'ষাঁড়া', 'ষাঁড়াষাঁড়ি', 'ষাঁড়াষাঁড়ি বান', 'ষাট', 'ষাট২', 'ষান্মাসিক', 'ষেট, ষেটে', 'ষেটেরা', 'ষোল', 'ষোল-আনা', 'ষোল-কলা', 'ষোড়শ', 'ষোড়শ-উপচার', 'ষোড়শ-মাতৃকা', 'ষোড়শার', 'ষোড়শী', 'ষোড়শ২', 'ষ্ঠীবন', 'ষড়ঙ্গ', 'ষড়ধা', 'ষড়যন্ত্র', 'ষড়শীতি', 'ষড়শীতিতম', 'ষড়ানন', 'ষড়ৈশ্বর্য', 'ষড়্ঋতু', 'ষড়্গুণ', 'ষড়্জ', 'ষড়্দর্শন', 'ষড়্বিধ', 'ষড়্ভুজ', 'ষড়্রস', 'ষড়্রিপু, ষড়্বর্গ']"
স,"['স', 'স', 'সঁপা', 'সং', 'সংকট, সংকর, সংকর্ষণ, সংকলক, সংকলন', 'সংকলয়িতা, সংকলিত, সংকল্প, সংকাশ, সংকীর্ণ', 'সংকীর্তন, সংকীর্তিত, সংকুচিত, সংকুল', 'সংকুলান, সংকেত, সংকোচ, সংকোচন', 'সংক্রম, সংক্রমণ, সংক্রাম', 'সংক্রমিত, সংক্রামিত', 'সংক্রান্ত', 'সংক্রান্তি', 'সংক্রামক, সংক্রামী', 'সংক্ষিপ্ত', 'সংক্ষুদ্ধ', 'সংক্ষেপ', 'সংক্ষেপণ', 'সংক্ষেপতঃ', 'সংক্ষেপিত', 'সংক্ষোভ', 'সংখ্যা', 'সংখ্যাগরিষ্ঠ', 'সংখ্যাগুরু', 'সংখ্যাতীত', 'সংখ্যাপন', 'সংখ্যাপিত', 'সংখ্যালঘিষ্ঠ', 'সংখ্যালঘু, সংখ্যাল্প', 'সংখ্যেয়', 'সংগঠক', 'সংগঠন', 'সংগঠনী', 'সংগঠিত', 'সংগত, সংগতি, সংগম, সংগীত', 'সংগৃহীত', 'সংগৃহীত, সংগ্রাহক', 'সংগোপন', 'সংগোপিত', 'সংগ্রহ, সংগ্রহণ', 'সংগ্রাম', 'সংঘ, সংঘটক, সংঘটিত, সংঘট্ট, সংঘর্ষ, সংঘর্ষণ', 'সংচূর্ণিত', 'সংজ্ঞা', 'সংজ্ঞার্থ', 'সংজ্ঞিত', 'সংনমন', 'সংবরণ', 'সংবরা', 'সংবর্ত', 'সংবর্তক, সংবর্তন', 'সংবর্তি, সংবর্তিক', 'সংবর্ধক', 'সংবর্ধন, সংবর্ধনা', 'সংবর্ধিত', 'সংবলিত', 'সংবহন', 'সংবাদ', 'সংবাদপত্র', 'সংবাদী', 'সংবাহক', 'সংবাহন, সংবাহ', 'সংবাহিত', 'সংবিগ্ন', 'সংবিত্তি', 'সংবিদা', 'সংবিদিত', 'সংবিধান', 'সংবিষ্ট', 'সংবিৎ', 'সংবিৎশক্তি', 'সংবীক্ষণ', 'সংবৃত', 'সংবৃতি', 'সংবৃত্ত', 'সংবৃত্তি', 'সংবেগ', 'সংবেদ, সংবেদন, সংবেদনা', 'সংবেদনশীল', 'সংবেদ্য', 'সংবেশ']"
